Age1,Node#,Node
80.92,1,Root
,2,Primates/Sundatheria
59.92,3,Dendrogale melanura/Ptilocercus
30.34,4,Dendrogale/Dendorgale
20.76,5,D. melanura/T. picta
14.24,6,T.glis/T.picta
13.84,7,Urogale/T.picta
,8,T.gracilis/T.picta
10.27,9,Urogale/T.gracilis
,10,
,11,
,12,
,13,
,14,
,15,
,16,
13.58,17,Cynocephalus/Galeopterus
,18,
,19,
,20,
,21,
,22,
76.46,23,Hap/Strep
,24,
56.51,25,Lemuroidea/Lorisoidea
,26,Euoticus/Nycticebus
,27,
25.11,28,Arctocebus/Nycticebus
15.34,29,Nycticebus/Loris
12.87,30,Perodictiscus/Arctocebus
23.29,31,Euoticus/Galago
,32,
,33,
43.75,34,Daubentonia/Avahi
25.84,35,Avahi/Cheirogalues
25.3,36,Varecia/Chierogaleus
21.42,37,Lepilemur/Cheirogalues
16.33,38,Chierogalues/Microcebus
10.39,39,Mirza/Microcebus
,40,
13.11,41,Lemur/Varecia
10.38,42,Lemur/Eulemur
,43,
,44,
,45,
14.08,46,Indri/Avahi
11.1,47,Avahi/Propithecus
,48,
,49,
73.35,50,Anthropoidea/Tarsioidea
,51,
34.5,52,Plat/Cat
,53,
19.07,54,Alouatta/Pithecia
,55,
,56,
,57,
,58,
17.14,59,Alouatta/Leontocebus
15.52,60,Aotus/Leontocebus
11.89,61,Leontopithecus/Leontocebus
,62,
,63,
10.89,64,Leontocebus/Callimico
,65,
,66,
,67,
,68,
,69,
,70,
12.76,71,Alouatta/Lagothrix
,72,
,73,
,74,
21.77,75,Hylobates/Miopithecus
13.04,76,Hylobates/Gorilla
,77,
,78,
,79,
13.31,80,Miopithecus/Pygathrix
10.17,81,Procolobus/Pygathrix
,82,
,83,Miopithecus/Lophocebus
,84,
,85,
,86,Miopithecus/Cercopithecus
,87,
,88,
,89,
,90,
,91,
,92,
14.78,93,Tarsius/Tarsius
,94,
,95,
78.28,96,Lago/Rodentia
48.32,97,Ochotona/Leporidea
,98,
,99,
19.93,100,Pronolagus/Peolagus
19.26,101,Poelagus/Sylvilagus
,102,
12.27,103,Lepus/Sylvilagus
11.78,104,Lepus/Brachylagus
,105,
,106,
,107,
,108,
,109,
,110,
,111,
10.95,112,Sylvilagus/Oryctolagus
10.81,113,Oryctolagus/Bunolagus
,114,
,115,
,116,
,117,
,118,
,119,
,120,
,121,
,122,
,123,
,124,
,125,
,126,
,127,
,128,
,129,
,130,
,131,
69.76,132,Cteno+SRC/MRC
64.02,133,Cteno/SRC
50.14,134,Dryomys/Petaurista
,135,
,136,
,137,
34.25,138,Aplodontia/Petaurista
,139,
,140,
,141,
31.57,142,Ratufa/Petaurista
27.45,143,Xerus/Petaurista
25.14,144,Xerus/Lariscus
23.2,145,Xerus/Heliosciurus
20.69,146,Tamias/Helioscirus
18.86,147,Tamias/Marmota
,148,
,149,
,150,
,151,
,152,
14.96,153,Lariscus/Dremomys
13.56,154,Rhinosciurus/Dremomys
13.25,155,Callosciurus/Dremomys
20.88,156,Petaurista/Tamiasciurus
,157,
,158,
,159,
18.36,160,Petaurista/Hyloptes
13.01,161,Glaucomys/Hyloptes
16.95,162,Petaurista/Aeormys
14.15,163,Pteromys/Aeromys
11.03,164,Aeromys/Pteromyscus
63.15,165,Loanastes/Bathyergus
38.97,166,Bathyergus/Dasyproacta
33.87,167,Coendu/Dasyprocta
24.69,168,Cuniculus/Dasyprocta
23.84,169,Cavia/Dasyprocta
,170,Myoprocta/Dasyprocta
,171,
,172,
,173,
17.42,174,Kerodon/Cavia
15.13,175,Kerodon/Doliichotis
,176,
16.92,177,Galea/Cavia
10.16,178,Galea/Galea
,179,
33.87,180,Dinomys/Coendu
32.57,181,Dinomys/Spalacopus
21.81,182,Dinomys/Chinchilla
,183,
16.76,184,Chinchilla/Lagostomus
,185,
20.16,186,Spalacopus/Mesomys
17.76,187,Capromys/Mesomys
15.7,188,Hoplomys/Mesomys
14.28,189,Myocastor/Mesomys
13.84,190,Phyllomys/Mesomys
11.65,191,Phyllomys/Patonomys
17,192,Ctenomys/Spalacopus
,193,
,194,
,195,
,196,
66.68,197,Castor/Dendromus
48.04,198,Dipodomys/Castor
,199,
66.1,200,Dendromus/Idiurus
46.5,201,Anomalurus/Pedetes
22.86,202,Anomalurus/Idiurus
62.01,203,Allactaga/Dendromus
15.7,204,Allactaga/Jaculus
,205,
50.95,206,Dendromus/Cannomys
11.59,207,Tachyoryctes/Cannomys
,208,
,209,
47.84,210,Dendromus/Tatera
46.36,211,Peromyscus/Tatera
46.05,212,Rattus/Tatera
40.8,213,Acomys/Tatera
23.73,214,Psammomys/Tatera
17.15,215,Psammomys/Gerbilis
34.96,216,Peromyscus/Ondatra
33.53,217,Cricetus/Ondatra
13.83,218,Ellobius/Ondatra
23.16,219,Peromyscus/Ochrotomys
29.73,220,Dendromus/Cricetomys
